customer_id,name,age,gender,city,income
101,Isha,37.0,Female,Delhi,34630.0
102,Pooja,34.0,Female,Ahmedabad,57569.0
103,Arjun,60.0,Female,Pune,95539.0
104,Riya,31.0,Female,Chennai,58455.0
105,Aryan,37.0,Male,Bangalore,74284.0
106,Aryan,,Female,Ahmedabad,98932.0
107,Aryan,30.0,Male,Mumbai,
108,Sneha,60.0,Female,Bangalore,54482.0
109,Neha,24.0,Female,Jaipur,76389.0
110,Sneha,36.0,Female,Surat,53262.0
111,Meera,57.0,Male,Pune,54556.0
112,,46.0,Male,Jaipur,58478.0
113,,46.0,Male,Kolkata,78816.0
114,Aryan,19.0,Female,Pune,99390.0
115,,22.0,Female,Ahmedabad,72709.0
116,Neha,25.0,Male,Chennai,55129.0
117,Arjun,23.0,Male,,
118,Rohit,53.0,Male,Kolkata,57351.0
119,Pooja,45.0,,Surat,87272.0
120,Rahul,32.0,Female,Jaipur,75007.0
121,Sneha,37.0,Female,Bangalore,84249.0
122,Kabir,58.0,Male,Ahmedabad,31167.0
123,Aryan,33.0,Male,Hyderabad,63956.0
124,Riya,48.0,,Jaipur,86116.0
125,Karan,26.0,Male,Ahmedabad,96881.0
126,Rohit,43.0,Male,Kolkata,73463.0
127,Pooja,25.0,Male,Kolkata,59909.0
128,Pooja,23.0,Female,Hyderabad,56376.0
129,Isha,52.0,Male,Bangalore,94233.0
130,Kabir,35.0,Female,Kolkata,
131,Vivaan,48.0,Female,Chennai,71220.0
132,Kabir,48.0,Female,Delhi,67455.0
133,Karan,32.0,Female,Chennai,90603.0
134,Kabir,,Male,Ahmedabad,57404.0
135,Pooja,41.0,Male,,84334.0
136,Riya,46.0,Female,Hyderabad,93102.0
137,Rahul,40.0,Female,Kolkata,36766.0
138,Rohit,,Female,Chennai,68208.0
139,Diya,18.0,Female,Delhi,76520.0
140,Riya,22.0,Male,Pune,47887.0
141,Neha,43.0,Female,Kolkata,93080.0
142,Pooja,60.0,,Chennai,44729.0
143,Ananya,60.0,Female,Chennai,93560.0
144,Ananya,45.0,Male,,60060.0
145,Arjun,26.0,Female,Jaipur,
146,,47.0,Male,Hyderabad,63627.0
147,Rahul,50.0,Female,Hyderabad,59132.0
148,Karan,31.0,Male,Delhi,75019.0
149,Isha,59.0,Female,Chennai,39689.0
150,Karan,38.0,Female,Pune,65159.0
151,Rahul,35.0,Male,Ahmedabad,44073.0
152,Isha,44.0,Male,Delhi,33529.0
153,Vivaan,59.0,,Bangalore,38901.0
154,Sneha,53.0,Female,Mumbai,80635.0
155,Rohit,54.0,Female,Delhi,53868.0
156,Rahul,,Female,Ahmedabad,98377.0
157,Vivaan,50.0,Male,Ahmedabad,49126.0
158,Vivaan,57.0,Female,Bangalore,77743.0
159,Karan,56.0,Female,Pune,50697.0
160,Aarav,59.0,Female,Jaipur,67689.0
161,Riya,49.0,Female,Hyderabad,53411.0
